Provinsi,UMR 
Aceh,3.413.666
Bali,2.713.672
Banten,2.661.280
Bengkulu,2.418.280
DI Yogyakarta,1.981.782
DKI Jakarta,4.900.000
Gorontalo,2.989.350
Jambi,2.943.033
Jawa Barat,1.986.670
Jawa Tengah,1.958.169
Jawa Timur,2.040.244
Kalimantan Barat,2.608.601
Kalimantan Selatan,3.149.977
Kalimantan Tengah,3.181.013
Kalimantan Timur ,3.201.396
Kalimantan Utara,3.251.702
Kep. Bangka Belitung,3.498.479
Kepulauan Riau,3.279.194
Lampung,2.633.284
Maluku,2.812.827
Maluku Utara,2.976.720
Nusa Tenggara Barat,2.371.407
Nusa Tenggara Timur,2.123.994
Papua,3.864.696
Paua Barat,3.282.000
Riau,3.191.662
Sulawesi Barat,2.871.794
Sulawesi Selatan,3.385.145
Sulawesi Tengah,2.599.456
Sulawesi Tenggara,2.758.984
Sulawesi Utara,3.485.000
Sumatera Barat,2.742.476
Sumatera Selatan,3.404.177
Sumatera Utara,2.710.493